,product,price,quantity,date,region,sales
0,pink morsel,3,546,06-02-2018,north,1638
1,pink morsel,3,549,06-02-2018,south,1647
2,pink morsel,3,577,06-02-2018,east,1731
3,pink morsel,3,519,06-02-2018,west,1557
4,pink morsel,3,529,07-02-2018,north,1587
5,pink morsel,3,566,07-02-2018,south,1698
6,pink morsel,3,514,07-02-2018,east,1542
7,pink morsel,3,545,07-02-2018,west,1635
8,pink morsel,3,534,08-02-2018,north,1602
9,pink morsel,3,512,08-02-2018,south,1536
10,pink morsel,3,501,08-02-2018,east,1503
11,pink morsel,3,567,08-02-2018,west,1701
12,pink morsel,3,586,09-02-2018,north,1758
13,pink morsel,3,554,09-02-2018,south,1662
14,pink morsel,3,594,09-02-2018,east,1782
15,pink morsel,3,505,09-02-2018,west,1515
16,pink morsel,3,554,10-02-2018,north,1662
17,pink morsel,3,519,10-02-2018,south,1557
18,pink morsel,3,550,10-02-2018,east,1650
19,pink morsel,3,558,10-02-2018,west,1674
20,pink morsel,3,518,11-02-2018,north,1554
21,pink morsel,3,529,11-02-2018,south,1587
22,pink morsel,3,521,11-02-2018,east,1563
23,pink morsel,3,588,11-02-2018,west,1764
24,pink morsel,3,586,12-02-2018,north,1758
25,pink morsel,3,536,12-02-2018,south,1608
26,pink morsel,3,523,12-02-2018,east,1569
27,pink morsel,3,551,12-02-2018,west,1653
28,pink morsel,3,524,13-02-2018,north,1572
29,pink morsel,3,572,13-02-2018,south,1716
30,pink morsel,3,591,13-02-2018,east,1773
31,pink morsel,3,575,13-02-2018,west,1725
32,pink morsel,3,589,14-02-2018,north,1767
33,pink morsel,3,570,14-02-2018,south,1710
34,pink morsel,3,566,14-02-2018,east,1698
35,pink morsel,3,504,14-02-2018,west,1512
36,pink morsel,3,582,15-02-2018,north,1746
37,pink morsel,3,578,15-02-2018,south,1734
38,pink morsel,3,508,15-02-2018,east,1524
39,pink morsel,3,538,15-02-2018,west,1614
40,pink morsel,3,526,16-02-2018,north,1578
41,pink morsel,3,594,16-02-2018,south,1782
42,pink morsel,3,509,16-02-2018,east,1527
43,pink morsel,3,584,16-02-2018,west,1752
44,pink morsel,3,595,17-02-2018,north,1785
45,pink morsel,3,563,17-02-2018,south,1689
46,pink morsel,3,547,17-02-2018,east,1641
47,pink morsel,3,525,17-02-2018,west,1575
48,pink morsel,3,548,18-02-2018,north,1644
49,pink morsel,3,558,18-02-2018,south,1674
50,pink morsel,3,517,18-02-2018,east,1551
51,pink morsel,3,579,18-02-2018,west,1737
52,pink morsel,3,521,19-02-2018,north,1563
53,pink morsel,3,549,19-02-2018,south,1647
54,pink morsel,3,535,19-02-2018,east,1605
55,pink morsel,3,513,19-02-2018,west,1539
56,pink morsel,3,566,20-02-2018,north,1698
57,pink morsel,3,525,20-02-2018,south,1575
58,pink morsel,3,500,20-02-2018,east,1500
59,pink morsel,3,517,20-02-2018,west,1551
60,pink morsel,3,579,21-02-2018,north,1737
61,pink morsel,3,514,21-02-2018,south,1542
62,pink morsel,3,555,21-02-2018,east,1665
